Formato Textual (Nombre del Objeto),Formato OID Numérico
UPS-MIB::upsOutputVoltage.2,1.3.6.1.2.1.33.1.4.5.2
UPS-MIB::upsOutputVoltage.3,1.3.6.1.2.1.33.1.4.5.3
UPS-MIB::upsOutputCurrent.1,1.3.6.1.2.1.33.1.4.6.1
UPS-MIB::upsOutputCurrent.2,1.3.6.1.2.1.33.1.4.6.2
UPS-MIB::upsOutputCurrent.3,1.3.6.1.2.1.33.1.4.6.3
UPS-MIB::upsOutputPower.1,1.3.6.1.2.1.33.1.4.7.1
UPS-MIB::upsOutputPower.2,1.3.6.1.2.1.33.1.4.7.2
UPS-MIB::upsOutputPower.3,1.3.6.1.2.1.33.1.4.7.3
UPS-MIB::upsOutputPercentLoad.1,1.3.6.1.2.1.33.1.4.8.1
UPS-MIB::upsOutputPercentLoad.2,1.3.6.1.2.1.33.1.4.8.2
UPS-MIB::upsOutputPercentLoad.3,1.3.6.1.2.1.33.1.4.8.3
UPS-MIB::upsBypassFrequency.0,1.3.6.1.2.1.33.1.5.1.0
UPS-MIB::upsBypassNumLines.0,1.3.6.1.2.1.33.1.5.2.0
UPS-MIB::upsBypassLineIndex.1,1.3.6.1.2.1.33.1.5.3.1
UPS-MIB::upsBypassLineIndex.2,1.3.6.1.2.1.33.1.5.3.2
UPS-MIB::upsBypassLineIndex.3,1.3.6.1.2.1.33.1.5.3.3
UPS-MIB::upsBypassVoltage.1,1.3.6.1.2.1.33.1.5.4.1
UPS-MIB::upsBypassVoltage.2,1.3.6.1.2.1.33.1.5.4.2
UPS-MIB::upsBypassVoltage.3,1.3.6.1.2.1.33.1.5.4.3
UPS-MIB::upsBypassCurrent.1,1.3.6.1.2.1.33.1.5.5.1
UPS-MIB::upsBypassCurrent.2,1.3.6.1.2.1.33.1.5.5.2
UPS-MIB::upsBypassCurrent.3,1.3.6.1.2.1.33.1.5.5.3
UPS-MIB::upsBypassPower.1,1.3.6.1.2.1.33.1.5.6.1
UPS-MIB::upsBypassPower.2,1.3.6.1.2.1.33.1.5.6.2
UPS-MIB::upsBypassPower.3,1.3.6.1.2.1.33.1.5.6.3
UPS-MIB::upsAlarmsPresent.0,1.3.6.1.2.1.33.1.6.1.0
UPS-MIB::upsTestSpinLock.0,1.3.6.1.2.1.33.1.7.1.0
UPS-MIB::upsTestResultsSummary.0,1.3.6.1.2.1.33.1.7.2.0
UPS-MIB::upsTestResultsDetail.0,1.3.6.1.2.1.33.1.7.3.0
UPS-MIB::upsTestStartTime.0,1.3.6.1.2.1.33.1.7.4.0
UPS-MIB::upsTestElapsedTime.0,1.3.6.1.2.1.33.1.7.5.0
UPS-MIB::upsShutdownType.0,1.3.6.1.2.1.33.1.8.1.0
UPS-MIB::upsShutdownAfterDelay.0,1.3.6.1.2.1.33.1.8.2.0
UPS-MIB::upsStartupAfterDelay.0,1.3.6.1.2.1.33.1.8.3.0
UPS-MIB::upsRebootWithDuration.0,1.3.6.1.2.1.33.1.8.4.0
UPS-MIB::upsAutoRestart.0,1.3.6.1.2.1.33.1.8.5.0
UPS-MIB::upsConfigInputVoltage.0,1.3.6.1.2.1.33.1.9.1.0
UPS-MIB::upsConfigInputFreq.0,1.3.6.1.2.1.33.1.9.2.0
UPS-MIB::upsConfigOutputVoltage.0,1.3.6.1.2.1.33.1.9.3.0
UPS-MIB::upsConfigOutputFreq.0,1.3.6.1.2.1.33.1.9.4.0
UPS-MIB::upsConfigOutputVA.0,1.3.6.1.2.1.33.1.9.5.0
UPS-MIB::upsConfigOutputPower.0,1.3.6.1.2.1.33.1.9.6.0
UPS-MIB::upsConfigLowBattTime.0,1.3.6.1.2.1.33.1.9.7.0
UPS-MIB::upsConfigAudibleStatus.0,1.3.6.1.2.1.33.1.9.8.0
UPS-MIB::upsConfigLowVoltageTransferPoint.0,1.3.6.1.2.1.33.1.9.9.0
UPS-MIB::upsConfigHighVoltageTransferPoint.0,1.3.6.1.2.1.33.1.9.10.0
RFC1213-MIB::sysLocation.0,1.3.6.1.2.1.1.6.0
RFC1213-MIB::sysName.0,1.3.6.1.2.1.1.5.0
SNMPv2-MIB::sysUpTime.0,1.3.6.1.2.1.1.3.0
